id,masculine,see_as_masculine,society_pressure_is_bad,first_move,try_pay_date,state,white,age_range,kids,straight
168,4,2,No,No,NA,Maryland,no,3,yes,yes
169,4,5,Yes,Yes,5,Texas,yes,3,no,NA
170,5,3,Yes,Yes,4,Ohio,yes,4,no,NA
171,4,4,No,No,1,Pennsylvania,yes,2,yes,yes
172,4,4,Yes,Yes,5,Texas,no,3,yes,yes
173,4,3,Yes,No,3,California,yes,4,yes,no
174,5,3,Yes,No,4,Oregon,yes,4,no,yes
175,4,3,Yes,Yes,4,California,no,4,yes,NA
176,5,5,No,No,4,Idaho,yes,4,no,NA
177,4,4,Yes,Yes,4,Texas,yes,3,yes,yes
178,2,4,Yes,No,3,Florida,yes,3,yes,no
179,4,3,Yes,No,3,Iowa,yes,2,yes,no
180,4,2,Yes,Yes,4,New York,no,2,no,yes
181,4,3,No,No,5,New York,yes,4,no,yes
182,4,3,No,Yes,5,Ohio,yes,3,no,yes
183,5,4,No,No,4,Oregon,yes,3,yes,yes
184,5,2,Yes,Yes,5,New Mexico,yes,3,yes,no
185,5,4,No,Yes,4,California,yes,3,no,yes
186,4,4,Yes,No,5,California,yes,4,no,yes
187,4,3,Yes,No,1,Oregon,yes,3,no,yes
188,5,5,Yes,Yes,5,Virginia,yes,3,no,yes
189,3,3,Yes,Yes,5,Florida,yes,3,yes,no
190,2,2,Yes,Yes,5,Washington,yes,3,yes,yes
191,5,5,Yes,Yes,5,Nevada,yes,4,no,yes
192,5,5,No,Yes,5,Connecticut,yes,4,no,yes
193,4,4,Yes,Yes,4,Texas,yes,3,no,yes
194,3,4,Yes,Yes,5,Texas,yes,3,no,yes
195,5,4,Yes,Yes,5,Georgia,yes,4,no,yes
196,4,4,No,Yes,5,Arizona,yes,4,no,yes
197,4,4,Yes,Yes,5,Mississippi,yes,3,no,yes
198,5,4,Yes,No,5,Tennessee,yes,3,no,yes
199,5,5,Yes,Yes,5,Texas,no,3,no,yes
200,3,4,Yes,Yes,5,California,no,2,yes,yes
201,5,5,Yes,No,5,Hawaii,yes,4,no,yes
202,4,4,Yes,Yes,5,California,yes,4,no,yes
203,4,3,No,Yes,5,Kentucky,yes,3,yes,yes
204,4,3,No,No,5,New York,yes,4,yes,yes
205,4,2,Yes,Yes,4,Michigan,yes,3,no,yes
206,4,4,Yes,No,5,Pennsylvania,yes,4,no,yes
207,5,4,Yes,Yes,5,Arizona,no,3,no,yes
208,5,2,No,No,5,North Dakota,yes,3,no,yes
209,4,3,Yes,No,4,Massachusetts,yes,3,no,yes
210,5,3,Yes,Yes,4,California,yes,4,no,yes
211,4,3,Yes,No,4,New York,yes,2,yes,yes
212,4,3,Yes,NA,5,Delaware,yes,4,no,yes
213,5,5,Yes,Yes,5,Utah,yes,2,no,yes
214,4,4,No,NA,NA,Texas,yes,4,no,yes
215,2,2,No,Yes,5,Rhode Island,yes,3,no,yes
216,4,2,No,Yes,5,California,yes,4,no,yes
217,5,4,Yes,Yes,5,California,yes,4,no,yes
218,4,3,Yes,Yes,3,Oregon,yes,3,no,yes
219,5,4,No,No,4,Minnesota,yes,4,no,yes
220,3,2,Yes,Yes,3,Washington,yes,3,yes,no
221,5,5,No,No,4,Florida,yes,3,no,yes
222,5,4,Yes,No,4,Indiana,yes,4,no,yes
223,4,4,Yes,No,5,Virginia,yes,3,no,yes
224,4,4,No,No,4,Michigan,yes,4,no,yes
225,4,4,Yes,No,5,Maryland,yes,4,no,yes
226,5,4,Yes,No,4,Florida,no,2,no,yes
227,4,3,No,Yes,5,Washington,yes,3,no,yes
228,4,4,Yes,No,5,Illinois,yes,3,no,yes
229,4,4,Yes,No,1,New York,yes,3,yes,yes
230,5,4,Yes,Yes,5,Illinois,yes,4,no,yes
231,5,5,No,No,2,Louisiana,no,2,no,no
232,4,3,No,Yes,4,Massachusetts,yes,3,no,yes
233,5,4,Yes,No,4,Washington,yes,4,yes,no
234,5,4,No,Yes,5,Florida,yes,3,yes,yes
235,4,4,Yes,No,4,Wisconsin,yes,3,no,yes
236,5,4,No,No,1,Illinois,yes,4,yes,yes
237,4,3,No,Yes,5,California,yes,3,no,yes
238,4,3,No,No,3,California,yes,3,yes,yes
239,5,5,Yes,Yes,5,California,yes,3,yes,yes
240,4,4,No,Yes,4,Massachusetts,yes,3,yes,yes
241,5,3,No,Yes,4,New York,yes,3,no,yes
242,5,4,Yes,Yes,3,California,yes,2,no,yes
243,4,3,No,Yes,4,Kentucky,yes,3,yes,yes
244,4,4,Yes,No,3,Wisconsin,no,2,yes,no
245,4,4,Yes,Yes,4,California,no,2,yes,no
246,4,3,Yes,No,3,Oregon,yes,4,no,yes
247,5,3,Yes,Yes,4,Washington,yes,4,yes,yes
248,4,5,No,No,5,Washington,yes,3,no,yes
249,5,5,No,No,3,Pennsylvania,yes,4,no,yes
250,5,5,No,Yes,5,Nevada,yes,4,yes,yes
251,4,5,Yes,Yes,5,Indiana,yes,4,no,yes
252,4,4,Yes,Yes,4,Florida,yes,2,no,yes
253,5,4,Yes,Yes,4,North Carolina,yes,2,yes,yes
254,4,4,No,No,5,Florida,yes,3,yes,yes
255,5,3,Yes,No,3,Texas,yes,3,yes,yes
256,5,3,Yes,No,3,California,yes,4,no,no
257,3,3,No,No,5,Florida,yes,4,no,yes
258,3,2,Yes,No,4,Washington,yes,3,no,yes
259,4,3,Yes,No,3,Michigan,yes,3,no,yes
260,4,3,Yes,No,4,New Hampshire,yes,3,yes,yes
261,4,3,No,No,4,Georgia,yes,4,no,yes
262,5,5,No,No,5,Ohio,yes,4,no,yes
263,4,3,No,Yes,5,Wisconsin,yes,4,no,yes
264,5,4,No,Yes,4,Alabama,yes,3,yes,yes
265,5,5,No,Yes,5,Texas,yes,3,no,yes
266,3,3,No,Yes,5,Pennsylvania,yes,3,no,yes
267,3,3,Yes,Yes,4,California,yes,4,yes,no
268,4,5,Yes,Yes,4,New Jersey,yes,4,yes,no
269,4,4,No,Yes,1,California,yes,4,no,yes
270,4,4,Yes,Yes,5,Kansas,yes,4,no,yes
271,4,5,No,No,3,North Carolina,yes,4,yes,yes
272,4,3,Yes,No,5,Missouri,yes,4,no,yes
273,4,4,Yes,Yes,5,Kentucky,no,3,no,yes
274,5,4,No,No,4,California,yes,3,no,yes
275,3,3,No,Yes,5,Hawaii,no,3,no,yes
276,5,3,No,Yes,4,Florida,yes,4,no,yes
277,5,3,Yes,Yes,5,Montana,yes,3,yes,yes
278,4,3,Yes,Yes,5,Texas,yes,4,no,yes
279,4,4,Yes,Yes,5,California,yes,4,yes,yes
280,4,4,Yes,Yes,5,Kentucky,yes,3,yes,yes
281,5,3,Yes,No,3,California,yes,2,yes,yes
282,5,2,Yes,No,4,Minnesota,yes,4,no,yes
283,5,3,Yes,Yes,5,Indiana,yes,3,no,yes
284,3,4,Yes,Yes,5,West Virginia,yes,3,no,no
285,4,4,Yes,Yes,5,Ohio,yes,3,yes,yes
286,4,5,No,No,5,California,no,2,no,yes
287,5,4,Yes,Yes,5,Florida,yes,4,no,yes
288,4,3,Yes,No,3,New York,yes,3,no,yes
289,4,5,Yes,Yes,5,Florida,yes,3,yes,no
290,4,3,No,Yes,3,Maryland,yes,4,no,yes
291,4,4,No,No,3,New Jersey,yes,4,no,yes
292,3,4,No,Yes,3,Tennessee,yes,3,no,no
293,4,4,Yes,Yes,5,West Virginia,yes,3,no,yes
294,4,4,Yes,Yes,4,Pennsylvania,yes,3,yes,yes
295,5,4,Yes,Yes,5,New Jersey,yes,2,yes,yes
296,5,4,Yes,No,3,Hawaii,yes,3,no,no
297,4,2,Yes,Yes,5,Ohio,yes,4,yes,yes
298,4,3,Yes,Yes,3,Oregon,no,3,yes,no
299,5,5,Yes,Yes,4,Maryland,yes,4,no,yes
300,5,2,Yes,Yes,1,Georgia,yes,2,yes,no
301,5,5,No,No,3,Minnesota,no,2,yes,yes
302,5,3,Yes,Yes,5,Michigan,no,3,no,NA
303,3,3,Yes,No,4,New Hampshire,yes,3,yes,no
304,5,5,No,No,1,Ohio,yes,4,no,yes
305,3,3,No,Yes,5,California,yes,4,no,yes
306,5,4,Yes,Yes,3,Washington,yes,4,yes,yes
307,5,3,No,No,4,North Carolina,yes,4,yes,yes
308,4,4,Yes,Yes,5,New York,yes,4,no,yes
309,5,2,Yes,NA,NA,New Jersey,no,3,no,yes
310,4,3,No,No,3,California,yes,3,yes,no
311,5,2,Yes,No,5,California,yes,4,yes,yes
312,4,4,Yes,No,4,New Jersey,yes,3,no,yes
313,5,5,No,No,5,Washington,yes,3,no,yes
314,4,4,Yes,Yes,5,Texas,yes,4,no,yes
315,4,3,Yes,Yes,4,Illinois,yes,4,no,yes
316,4,4,No,Yes,5,Colorado,yes,4,no,yes
317,4,3,Yes,Yes,5,New York,yes,3,no,yes
318,5,3,No,No,5,Michigan,yes,4,no,yes
319,2,2,Yes,No,3,Pennsylvania,yes,2,yes,no
320,4,4,Yes,Yes,5,California,no,3,no,yes
321,5,4,Yes,No,5,New Hampshire,yes,3,no,yes
322,4,2,Yes,No,5,Nevada,yes,4,no,yes
323,4,2,Yes,Yes,NA,Kentucky,yes,4,yes,yes
324,4,3,No,Yes,5,Maryland,yes,3,no,yes
325,4,4,Yes,No,1,Mississippi,no,3,no,yes
326,4,3,Yes,No,5,Texas,yes,3,no,yes
327,4,3,Yes,Yes,4,New York,no,2,no,yes
328,4,4,Yes,Yes,4,Missouri,yes,4,no,yes
329,5,4,Yes,Yes,5,California,yes,3,no,yes
330,4,2,Yes,Yes,4,Wisconsin,yes,4,yes,NA
331,5,4,Yes,No,4,Washington,yes,4,no,yes
332,4,4,Yes,No,4,Minnesota,yes,3,no,yes
333,4,4,Yes,Yes,5,New Jersey,yes,3,no,yes
334,4,3,No,NA,NA,Virginia,yes,3,NA,NA
335,5,5,Yes,No,5,Illinois,yes,4,yes,yes
336,5,2,No,Yes,5,Tennessee,yes,3,yes,no
337,2,2,No,No,3,Alabama,yes,4,no,NA
338,4,3,Yes,Yes,4,Florida,yes,3,no,yes
339,4,4,Yes,Yes,5,Missouri,yes,4,no,yes
340,4,4,Yes,Yes,5,Minnesota,yes,4,no,NA
341,3,4,Yes,Yes,5,Minnesota,no,3,no,NA
342,4,3,Yes,Yes,5,Florida,yes,4,no,yes
343,4,3,Yes,Yes,4,New York,yes,4,no,yes
344,3,2,Yes,Yes,4,Michigan,yes,4,no,yes
345,4,4,Yes,Yes,5,Florida,yes,4,no,yes
346,5,4,No,Yes,5,New York,yes,4,no,yes
347,5,4,Yes,No,5,Arizona,no,3,no,yes
348,5,5,Yes,Yes,5,California,yes,4,yes,yes
349,5,2,Yes,Yes,5,Texas,no,3,no,yes
350,5,5,No,Yes,2,California,yes,4,no,yes
351,5,2,No,No,5,Virginia,yes,4,no,yes
352,4,4,Yes,Yes,4,Colorado,yes,4,yes,yes
353,5,4,Yes,Yes,5,Illinois,yes,4,no,yes
354,2,2,No,No,1,Pennsylvania,no,4,no,NA
355,4,4,No,No,4,Illinois,yes,3,no,yes
356,5,4,Yes,Yes,5,Texas,yes,4,no,yes
357,4,4,Yes,Yes,5,Colorado,yes,3,no,yes
358,4,4,Yes,Yes,4,Florida,yes,4,no,yes
359,5,4,No,Yes,4,Montana,yes,3,yes,yes
360,4,3,No,Yes,5,New Jersey,yes,4,no,yes
361,4,4,No,Yes,5,New York,yes,4,yes,yes
362,4,4,Yes,Yes,4,California,yes,3,yes,yes
363,5,5,No,Yes,5,California,yes,3,no,yes
364,4,3,No,Yes,5,Wisconsin,yes,3,no,yes
365,4,3,Yes,Yes,5,New Jersey,yes,4,no,yes
366,3,2,Yes,No,1,Nevada,yes,4,no,yes
367,5,5,Yes,Yes,5,Texas,yes,2,no,yes
368,5,5,No,Yes,5,Washington,yes,3,no,yes
369,5,5,No,No,3,Florida,no,2,yes,yes
370,4,4,No,No,5,Nevada,yes,4,no,yes
371,4,3,No,Yes,5,California,no,3,no,yes
372,4,4,No,Yes,4,Florida,yes,4,no,no
373,4,5,No,Yes,5,South Carolina,no,3,no,yes
374,4,4,No,Yes,5,Florida,yes,3,yes,yes
375,4,2,No,No,1,New Jersey,yes,4,no,yes
376,5,2,NA,Yes,4,Maryland,yes,4,no,yes
377,4,3,Yes,Yes,5,Illinois,yes,3,no,yes
378,4,4,Yes,Yes,5,California,yes,2,yes,yes
